-71.1040827,42.3658214,675 Massachusetts Ave, Cambridge, Ma, 9668
-71.1040366,42.3674708,6 Austin Pk, Cambridge, Ma, 9793
-71.1030338,42.3675503,6 St Paul St, Cambridge, Ma, 9896
-71.1015256,42.37055,39 Amory St, Cambridge, Ma, 7474
-71.1009868,42.3705597,48 Amory St, Cambridge, Ma, 8307
-71.100511,42.3707647,4 St Mary Rd, Cambridge, Ma, 8549
-71.1017908,42.3708605,6 King Pl, Cambridge, Ma, 9864
-71.1068003,42.3689997,23 Lee St, Cambridge, Ma, 5126
-71.1033232,42.3722478,24 Fayette St, Cambridge, Ma, 5281
-71.1044314,42.3725661,24 Maple Ave, Cambridge, Ma, 5317
-71.1050257,42.3684904,25 Bigelow St, Cambridge, Ma, 5472
-71.1056791,42.3689602,25 Clinton St, Cambridge, Ma, 5485
-71.103679,42.3729058,25 Fainwood Cir, Cambridge, Ma, 5498
-71.1045208,42.3679393,25 Inman St, Cambridge, Ma, 5528
-71.1020502,42.3743213,262 Hampshire St, Cambridge, Ma, 5603
-71.102972,42.3709433,26-R Antrim St, Cambridge, Ma, 5656
-71.105263,42.3690879,26 Clinton St, Cambridge, Ma, 5672
-71.1042737,42.3727612,26 Maple Ave, Cambridge, Ma, 5715
-71.1055279,42.3691184,27 Clinton St, Cambridge, Ma, 5827
-71.1038186,42.3729515,27 Fainwood Cir, Cambridge, Ma, 5843
-71.1044327,42.3680572,27 Inman St, Cambridge, Ma, 5862
-71.1044943,42.369167,284 Harvard St, Cambridge, Ma, 5929
-71.1030792,42.3723972,28 Fayette St, Cambridge, Ma, 5974
-71.1065872,42.3688263,28 Lee St, Cambridge, Ma, 6000
-71.1039909,42.3727489,28 Maple Ave, Cambridge, Ma, 6005
-71.1049238,42.3686221,29 Bigelow St, Cambridge, Ma, 6086
-71.1034204,42.3725478,29 Fayette St, Cambridge, Ma, 6108
-71.1046857,42.3713755,2 Fayette Pk, Cambridge, Ma, 6192
-71.1068782,42.3696473,2 Hancock Pl, Cambridge, Ma, 6207
-71.1037156,42.3698145,2 Inman Pl, Cambridge, Ma, 6216
-71.1062167,42.3697488,304 Harvard St, Cambridge, Ma, 6288
-71.1031113,42.3711047,30 Antrim St, Cambridge, Ma, 6328
-71.1052365,42.369113,28 Clinton St, Cambridge, Ma, 6349
